,id,zipcode,lat,long,price,oneYear,threeYear,fiveYear
0,7129300520,98178,47.5112,-122.257,221900.0,234794.536104,272772.198207,288534.052269
1,6414100192,98125,47.721,-122.319,538000.0,582441.778265,654780.874019,834761.13249
2,5631500400,98028,47.7379,-122.233,180000.0,171638.53242,170096.133638,175431.680039
3,2487200875,98136,47.5208,-122.393,604000.0,648126.103985,791268.490642,802968.578767
4,1954400510,98074,47.6168,-122.045,510000.0,542124.096154,653382.558657,810038.609809
5,7237550310,98053,47.6561,-122.005,1230000.0,1327321.901,1547360.63283,1923618.0356
6,1321400060,98003,47.3097,-122.327,257500.0,278082.763626,317191.726495,405616.881927
7,2008000270,98198,47.4095,-122.315,291850.0,319087.992098,356416.518163,377882.758209
8,2414600126,98146,47.5123,-122.337,229500.0,243971.091973,302389.58352,295315.595957
9,3793500160,98038,47.3684,-122.031,323000.0,294842.269439,244216.05787,275406.651861
10,1736800520,98007,47.6007,-122.145,662500.0,722398.524806,781662.754727,971628.089157
11,9212900260,98115,47.69,-122.292,468000.0,496235.4928,611246.416295,609701.186836
12,114101516,98028,47.7558,-122.229,310000.0,330324.714876,407232.5779,420376.9118
13,6054650070,98074,47.6127,-122.045,400000.0,438553.171798,467525.941533,588299.937928
14,1175000570,98107,47.67,-122.394,530000.0,582760.869395,675789.64204,737370.52335
15,9297300055,98126,47.5714,-122.375,650000.0,605978.257976,589894.379908,545880.102736
16,1875500060,98019,47.7277,-121.962,395000.0,421553.35807,459973.989992,599471.799747
17,6865200140,98103,47.6648,-122.343,485000.0,528140.750818,573425.210298,761351.812837
18,16000397,98002,47.3089,-122.21,189000.0,199002.256695,237045.538881,284539.213363
19,7983200060,98003,47.3343,-122.306,230000.0,252285.199881,283821.51233,337658.472655
20,6300500875,98133,47.7025,-122.341,385000.0,422620.895252,469340.168182,570448.254072
21,2524049179,98040,47.5316,-122.233,2000000.0,2197538.31542,2642764.63815,2746615.61992
22,7137970340,98092,47.3266,-122.169,285000.0,312973.306485,372191.771388,458462.111063
23,8091400200,98030,47.3533,-122.166,252700.0,268515.484284,322235.609022,337824.826475
24,3814700200,98030,47.3739,-122.172,329000.0,357805.099221,387289.447156,487718.298081
25,1202000200,98002,47.3048,-122.218,233000.0,216167.31706,190785.362327,184197.140019
26,1794500383,98119,47.6386,-122.36,937000.0,990233.14915,1167511.89649,1351181.91598
27,3303700376,98112,47.6221,-122.314,667000.0,633798.991292,505012.325396,478870.341605
28,5101402488,98115,47.695,-122.304,438000.0,480849.606884,534788.996399,620268.508713
29,1873100390,98052,47.7073,-122.11,719000.0,772378.967575,859096.321254,925030.246278
30,8562750320,98027,47.5391,-122.07,580500.0,616778.32639,673057.240533,823651.671381
31,2426039314,98133,47.7274,-122.357,280000.0,297195.940003,349185.196776,382065.751511
32,461000390,98117,47.6823,-122.368,687500.0,755339.370264,821637.272569,998888.127657
33,7589200193,98117,47.6889,-122.375,535000.0,570708.178103,625029.857938,704842.890056
34,7955080270,98058,47.4276,-122.157,322500.0,343940.823376,416922.177953,467443.904038
35,9547205180,98115,47.6827,-122.31,696000.0,732296.597619,825913.902327,892865.101542
36,9435300030,98052,47.6621,-122.132,550000.0,594123.652446,643945.478486,736494.767408
37,2768000400,98107,47.6702,-122.362,640000.0,676333.314613,770231.583046,848493.202829
38,7895500070,98001,47.3341,-122.282,240000.0,256906.432161,280056.770202,377157.112178
39,2078500320,98056,47.5301,-122.18,605000.0,650122.882918,770492.743674,943760.42662
40,5547700270,98074,47.6145,-122.027,625000.0,675737.500796,732531.246941,832210.490183
41,7766200013,98166,47.445,-122.347,775000.0,814002.999103,1016917.62923,1152631.84488
42,7203220400,98053,47.6848,-122.016,861990.0,941487.158645,997974.328468,1238377.0737
43,9270200160,98119,47.6413,-122.364,685000.0,734639.540798,826810.563295,986810.299227
44,1432701230,98058,47.4485,-122.175,309000.0,329521.141985,363817.84218,490362.718854
45,8035350320,98019,47.7443,-121.977,488000.0,527073.876477,637398.422166,748123.180077
46,8945200830,98023,47.3066,-122.371,210490.0,196465.802251,156974.629432,165526.496387
47,4178300310,98007,47.6194,-122.151,785000.0,843070.305907,937076.79684,1086421.61403
48,9215400105,98115,47.6796,-122.301,450000.0,490191.382524,595699.127907,582492.143694
49,822039084,98070,47.4041,-122.451,1350000.0,1326838.93768,1253441.16533,1290335.90067
50,5245600105,98148,47.4258,-122.322,228000.0,250128.853381,286671.932345,316872.875815
51,7231300125,98056,47.4934,-122.189,345000.0,372644.996077,422755.462277,518633.638047
52,7518505990,98117,47.6808,-122.384,600000.0,654290.096952,790978.620101,897613.472877
53,3626039271,98117,47.6989,-122.369,585000.0,633467.639512,753516.478024,791612.34266
54,4217401195,98105,47.6571,-122.281,920000.0,996818.871507,1215361.11331,1450064.28116
55,9822700295,98105,47.6597,-122.29,885000.0,944375.609267,1053220.20754,1285262.36001
56,9478500640,98042,47.3663,-122.114,292500.0,319471.601509,388997.5619,442450.359898
57,2799800710,98042,47.3663,-122.122,301000.0,294397.146244,222565.783378,235811.940709
58,7922800400,98008,47.588,-122.116,951000.0,1023198.72433,1176061.52087,1273499.61414
59,8079040320,98059,47.5059,-122.149,430000.0,453169.587849,531400.140949,588322.25461
60,1516000055,98166,47.4336,-122.339,650000.0,709757.069752,856791.245183,998279.449716
61,9558200045,98148,47.4366,-122.335,289000.0,309228.397596,369339.235612,461250.68707
62,5072410070,98166,47.4428,-122.344,505000.0,540063.071702,662830.776425,709092.770016
63,9528102996,98115,47.6765,-122.32,549000.0,538562.027659,447630.001508,381178.891043
64,1189001180,98122,47.6113,-122.297,425000.0,401001.338214,421497.928235,391999.120035
65,3253500160,98144,47.5747,-122.304,317625.0,347381.395401,420067.732254,441134.681428
66,3394100030,98004,47.5815,-122.192,975000.0,1053748.26286,1198676.89268,1272669.27727
67,3717000160,98001,47.3378,-122.257,287000.0,307547.611639,368981.617383,426113.090963
68,1274500060,98042,47.3621,-122.11,204000.0,214783.370941,260415.882029,303427.165791
69,1802000060,98004,47.6303,-122.215,1330000.0,1436817.73242,1554853.39377,1828271.91418
70,1525059190,98005,47.6525,-122.16,1040000.0,958224.963837,1006040.53962,834429.773666
71,1049000060,98034,47.7362,-122.179,325000.0,301574.047555,294689.283354,267562.718768
72,8820901275,98125,47.7168,-122.287,571000.0,612003.497637,735968.205818,810357.741789
73,5416510140,98038,47.3608,-122.036,360000.0,343862.573965,350377.602598,215664.919804
74,3444100400,98042,47.3511,-122.073,349000.0,377348.237692,440088.810772,499064.175112
75,3276920270,98075,47.5822,-121.987,832500.0,913038.336183,1087621.48254,1125017.42339
76,4036801170,98008,47.6034,-122.125,380000.0,415177.372144,445867.273775,543616.960227
77,2391600320,98116,47.5636,-122.394,480000.0,506303.607184,580749.470264,660691.628224
78,6300000287,98133,47.7073,-122.34,410000.0,436118.423131,535134.013383,545567.606327
79,1531000030,98010,47.342,-122.025,720000.0,783136.209975,834823.266384,1064871.47446
80,5104520400,98038,47.3512,-122.008,390000.0,428099.89148,451491.237216,543318.899385
81,7437100340,98038,47.349,-122.031,360000.0,389301.459356,454503.727515,481988.230894
82,9418400240,98118,47.5474,-122.291,355000.0,384120.110774,456333.66365,466018.837148
83,1523059105,98059,47.4811,-122.149,356000.0,378003.028851,465869.643593,494290.669858
84,1133000671,98125,47.7264,-122.31,315000.0,340004.887858,418804.079121,413710.88679
85,4232902595,98119,47.6337,-122.365,940000.0,1001259.02513,1171997.98722,1320117.11209
86,2599001200,98092,47.2909,-122.189,305000.0,328301.757921,356975.824307,483249.600695
87,3342103156,98056,47.5228,-122.199,461000.0,496693.265707,567695.237333,649240.552157
88,1332700270,98056,47.518,-122.194,215000.0,226611.722883,274992.944031,295257.474088
89,3869900162,98136,47.5394,-122.387,335000.0,360576.763199,403380.342691,438426.665144
90,2791500270,98023,47.2897,-122.372,243500.0,261201.47189,304019.388221,382346.25783
91,5036300431,98199,47.6506,-122.391,1100000.0,1180512.92576,1408024.73869,1452441.83353
92,4168000060,98023,47.322,-122.351,153000.0,168088.245537,185012.378495,244709.491442
93,6021501535,98117,47.687,-122.386,430000.0,463931.400117,567621.340843,571734.831496
94,6021501535,98117,47.687,-122.386,700000.0,741074.331436,838043.347269,1029208.01238
95,1483300570,98040,47.5873,-122.249,905000.0,990131.595424,1089357.96819,1369310.0215
96,3422049190,98032,47.3576,-122.277,247500.0,270628.601771,306522.758147,369733.295968
97,1099611230,98023,47.3036,-122.378,199000.0,218038.764165,241900.911171,282921.083841
98,722079104,98038,47.4109,-121.958,314000.0,339713.735374,410697.836576,407523.390192
99,7338200240,98045,47.4838,-121.714,437500.0,474585.396616,521327.925869,630493.519226
100,1952200240,98102,47.6415,-122.315,850830.0,812845.753993,763834.595875,508430.493451
101,5200100125,98117,47.6775,-122.372,555000.0,599730.012628,668593.364042,779275.878639
102,7214720075,98077,47.7731,-122.08,699950.0,759498.056573,848992.443536,985572.129351
103,2450000295,98004,47.5814,-122.196,1090000.0,1161415.18966,1407180.71675,1425969.1818
104,6197800045,98058,47.4375,-122.184,290000.0,310729.123343,365716.288811,390559.837121
105,1328310370,98058,47.4431,-122.133,375000.0,402216.147011,452438.594514,603459.842967
106,546000875,98117,47.6878,-122.38,460000.0,502226.532795,568568.086836,652930.439161
107,3530510041,98198,47.3813,-122.322,188500.0,202371.642724,240214.996201,299647.751018
108,1853000400,98077,47.7304,-122.082,680000.0,733165.24135,790266.07838,910375.913024
109,3134100116,98052,47.6417,-122.109,470000.0,508855.694318,563632.777158,674539.7046
110,9545230140,98027,47.5386,-122.053,597750.0,638071.333538,728257.57171,962138.556448
111,3362400511,98103,47.6823,-122.349,570000.0,599674.626062,691470.368804,791677.978884
112,2525310310,98038,47.3624,-122.031,272500.0,297288.361417,337497.865686,386475.976687
113,6126500060,98108,47.5474,-122.295,329950.0,361581.973597,387060.732777,499255.538789
114,8961960160,98001,47.3183,-122.253,480000.0,504522.086587,622676.247048,734888.713305
